Hour,Actual_Load,LSTM_Prediction,ARIMA_Prediction
0,896.3991391,901.9220361067266,904.8100498217982
1,876.4439982,876.2871969959598,904.0173442418869
2,877.3966794,863.112541103684,925.8262245385405
3,894.9367565,875.8358162611523,962.5602837457454
4,966.3634872,959.6512755261327,1006.8580863921189
5,1117.213518,1100.206399668775,1052.3529820253357
6,1255.906027,1220.2972225828635,1094.087250016482
7,1273.215295,1267.6094020880637,1128.681986167717
8,1257.54777,1283.7826519886992,1154.3040615547518
9,1241.120429,1308.9617497247862,1170.4823690048981
10,1232.605508,1317.563838646705,1177.828479169718
11,1235.794211,1323.0853535306603,1177.7133775509794
12,1237.336515,1328.6351762351214,1171.9440297759297
13,1238.500317,1322.2466571285063,1162.4730145425253
14,1273.887493,1322.1755060212524,1151.163072179831
15,1306.490652,1342.2193325500955,1139.6175235333267
16,1320.664999,1356.8106149823006,1129.0781171210679
17,1286.41257,1348.2236429452732,1120.3845666725706
18,1308.070112,1332.5100044872047,1113.9850896403018
19,1263.617703,1302.5482659549007,1109.9845942631857
20,1188.905695,1224.6502313356375,1108.2165109893149
21,1091.033627,1106.2371282738475,1108.325206530976
22,1009.167937,1011.6313564909036,1109.8479752220078
23,944.1438135,948.5151097582777,1112.288293592646
