Hour,Actual_Load,LSTM_Prediction,ARIMA_Prediction
0,902.6268143,904.1579542013772,909.7266477648868
1,883.0542332,879.1627846212479,905.2598874067229
2,882.719081,867.8266290072379,924.011913128898
3,898.8349808,889.3279267361498,958.5058801336036
4,961.5164066,974.1513297383376,1001.4585596360317
5,1101.797079,1102.2580807288102,1046.474252405253
6,1232.928547,1212.707310852695,1088.481998540231
7,1265.418016,1262.3050834084272,1123.9332277679764
8,1251.711721,1281.9039793156076,1150.7972333666182
9,1243.355946,1306.7354250378553,1168.4034358252459
10,1248.289862,1315.24288807454,1177.1832287965954
11,1275.863771,1315.901998791276,1178.361741756345
12,1297.017774,1312.0582037596191,1173.6428687265357
13,1296.543674,1301.284952245157,1164.921196600078
14,1287.729903,1300.9252357943371,1154.043662828839
15,1260.798678,1310.1215345762223,1142.633239772177
16,1268.879024,1310.6180661030435,1131.9776874158824
17,1259.250416,1297.750980676445,1122.9790719782693
18,1275.89511,1283.0778272306325,1116.1546031033906
19,1239.818205,1257.5706640214673,1111.676392216759
20,1178.533916,1185.800745631097,1109.4367525279981
21,1100.643433,1083.1620029376006,1109.1262747712049
22,1021.254642,1003.3758657615214,1110.3136768636082
23,959.3502587,945.5995859394901,1112.5188848872176
